Curve H2
38250 8
38300 8
38350 8
38400 8
38450 8
38500 8
38550 8
38600 8
38650 8
38700 8
38750 8
38800 8
38850 8
38900 8
38950 8
39000 8
39050 8
39100 8
39150 8
39200 8
39250 8
39300 8
39350 8
39400 8
39450 8
39500 8
39550 8
39600 8
39650 8
39700 8
39750 8
39800 8
39850 8
39900 8
39950 8
40000 8
40050 8
40100 8
40150 8
40200 8
40250 8
40300 8
40350 8
40400 8
40450 8
40500 8
40550 8
40600 8
40650 8
40700 8
40750 8
40800 9
40850 9
40900 9
40950 10
41000 10
41050 10
41100 10
41150 10
41200 10
41250 10
41300 10
41350 10
41400 10
41450 10
41500 10
41550 10
41600 10
41650 10
41700 10
41750 10
41800 10
41850 10
41900 10
41950 10
42000 10
42050 10
42100 10
42150 10
42200 10
42250 10
42300 10
42350 10
42400 10
42450 10
42500 10
42550 10
42600 10
42650 10
42700 10
42750 10
42800 10
42850 10
42900 10
42950 10
43000 10
43050 10
43100 10
43150 10
43200 10
43250 10
43300 10
43350 10
43400 10
43450 10
43500 10
43550 10
43600 10
43650 10
43700 10
43750 10
43800 10
43850 10
43900 10
43950 10
44000 10
44050 10
44100 10
44150 9
44200 10
44250 10
44300 10
44350 10
44400 10
44450 10
44500 10
44550 10
44600 10
44650 10
44700 10
44750 10
44800 10
44850 10
44900 10
44950 10
45000 10
45050 10
45100 10
45150 10
45200 10
45250 10
45300 10
45350 10
45400 10
45450 10
45500 10
45550 10
45600 10
45650 10
45700 10
45750 10
45800 10
45850 10
45900 10
45950 10
46000 10
46050 10
46100 10
46150 10
46200 10
46250 10
46300 10
46350 10
46400 10
46450 10
46500 10
46550 10
46600 10
46650 10
46700 10
46750 10
46800 10
46850 10
46900 10
46950 10
47000 10
47050 10
47100 10
47150 10
47200 10
47250 10
47300 10
47350 10
47400 10
47450 10
47500 10
47550 10
47600 10
47650 10
47700 10
47750 10
47800 10
47850 10
47900 10
47950 10
48000 9
48050 10
48100 10
48150 10
48200 10
48250 10
48300 10
48350 10
48400 10
48450 10
48500 10
48550 10
48600 10
48650 10
48700 10
48750 10
48800 10
48850 10
48900 10
48950 10
49000 10
49050 10
49100 10
49150 10
49200 10
49250 10
49300 10
49350 10
49400 10
49450 10
49500 10
49550 10
49600 10
49650 10
49700 10
49750 10
49800 10
49850 10
49900 10
49950 10
50000 10
50050 10
50100 10
50150 10
50200 10
50250 10
50300 10
50350 10
50400 10
50450 10
50500 10
50550 10
50600 10
50650 10
50700 10
50750 10
50800 10
50850 10
50900 10
50950 10
51000 10
51050 10
51100 10
51150 10
51200 10
51250 10
51300 10
51350 10
51400 10
51450 10
51500 10
51550 10
51600 10
51650 10
51700 10
51750 10
51800 10
51850 10
51900 10
51950 10
52000 10
52050 10
52100 10
52150 10
52200 10
52250 10
52300 10
52350 10
52400 10
52450 10
52500 10
52550 10
52600 10
52650 10
52700 10
52750 10
52800 10
52850 10
52900 10
52950 10
53000 10
53050 10
53100 10
53150 10
53200 10
53250 10
53300 11
53350 11
53400 11
53450 11
53500 11
53550 12
53600 12
53650 12
53700 12
53750 12
53800 12
53850 12
53900 12
53950 12
54000 12
54050 12
54100 12
54150 12
54200 12
54250 12
54300 12
54350 12
54400 12
54450 12
54500 12
54550 12
54600 12
54650 12
54700 12
54750 12
54800 12
54850 12
54900 12
54950 12
55000 12
55050 12
55100 12
55150 12
55200 12
55250 12
55300 12
55350 12
55400 12
55450 12
55500 12
55550 12
55600 12
55650 12
55700 12
55750 12
55800 12
55850 12
55900 12
55950 12
56000 12
56050 12
56100 12
56150 12
56200 12
56250 12
56300 12
56350 12
56400 12
56450 12
56500 12
56550 12
56600 12
56650 12
56700 12
56750 12
56800 12
56850 12
56900 12
56950 12
57000 12
57050 12
57100 12
57150 12
