Curve CH4
38200 10
38250 10
38300 10
38350 10
38400 10
38450 10
38500 10
38550 10
38600 10
38650 10
38700 10
38750 10
38800 11
38850 11
38900 11
38950 11
39000 11
39050 11
39100 11
39150 11
39200 11
39250 11
39300 11
39350 11
39400 11
39450 11
39500 11
39550 11
39600 11
39650 11
39700 11
39750 11
39800 10
39850 10
39900 10
39950 10
40000 10
40050 10
40100 10
40150 10
40200 10
40250 10
40300 10
40350 10
40400 10
40450 10
40500 10
40550 10
40600 10
40650 10
40700 10
40750 10
40800 9
40850 10
40900 10
40950 10
41000 10
41050 10
41100 10
41150 10
41200 10
41250 10
41300 10
41350 10
41400 10
41450 10
41500 10
41550 10
41600 10
41650 10
41700 10
41750 10
41800 10
41850 10
41900 10
41950 10
42000 10
42050 10
42100 10
42150 10
42200 10
42250 10
42300 10
42350 10
42400 10
42450 10
42500 10
42550 10
42600 10
42650 10
42700 10
42750 10
42800 10
42850 10
42900 10
42950 10
43000 10
43050 10
43100 10
43150 10
43200 10
43250 10
43300 10
43350 10
43400 10
43450 10
43500 10
43550 11
43600 11
43650 11
43700 11
43750 11
43800 11
43850 11
43900 11
43950 11
44000 11
44050 11
44100 11
44150 11
44200 11
44250 11
44300 11
44350 11
44400 11
44450 11
44500 11
44550 11
44600 11
44650 11
44700 11
44750 11
44800 11
44850 11
44900 11
44950 11
45000 11
45050 11
45100 11
45150 11
45200 11
45250 11
45300 11
45350 11
45400 11
45450 11
45500 11
45550 11
45600 11
45650 11
45700 11
45750 11
45800 11
45850 11
45900 11
45950 11
46000 11
46050 11
46100 11
46150 11
46200 11
46250 11
46300 11
46350 11
46400 11
46450 11
46500 11
46550 11
46600 11
46650 11
46700 11
46750 11
46800 11
46850 11
46900 11
46950 11
47000 11
47050 11
47100 11
47150 11
47200 11
47250 11
47300 11
47350 11
47400 11
47450 11
47500 11
47550 11
47600 11
47650 11
47700 11
47750 11
47800 11
47850 11
47900 12
47950 12
48000 12
48050 12
48100 12
48150 13
48200 13
48250 13
48300 13
48350 13
48400 13
48450 13
48500 13
48550 13
48600 13
48650 13
48700 13
48750 13
48800 13
48850 13
48900 13
48950 13
49000 13
49050 13
49100 13
49150 13
49200 13
49250 13
49300 13
49350 13
49400 13
49450 13
49500 13
49550 13
49600 13
49650 13
49700 13
49750 13
49800 12
49850 12
49900 12
49950 12
50000 12
50050 12
50100 12
50150 12
50200 12
50250 12
50300 12
50350 12
50400 13
50450 13
50500 13
50550 13
50600 13
50650 13
50700 13
50750 13
50800 13
50850 13
50900 13
50950 13
51000 13
51050 13
51100 13
51150 13
51200 13
51250 13
51300 13
51350 13
51400 13
51450 13
51500 13
51550 13
51600 13
51650 13
51700 13
51750 13
51800 13
